,0
Hagner T,3.41916675836879
Bargel B,0.162850883947328
Witzel T,4.09327307971711
Hinrichs H,2.62604871177902
Bogerts B,1.86725340822377
Scheich H,0.635435690010974
Heinze HJ,6.13606635001143
Pollmann S,10.9946124235998
Dove A,6.69117647058823
Yves von Cramon D,8.64705882352941
Wiggins CJ,11.5808823529412
Cohen L,59.4871371904922
Dehaene S,40.5126072089591
Naccache L,27.0361650531980
Lehericy S,18.1381981275279
Dehaene-Lambertz G,45.4640449572883
Henaff MA,26.3998261739840
Michel F,339.503937422634
Bartels A,137.196428571429
Zeki S,61.6420005502201
Ochi A,7.20250468747414
Otsubo H,3.61105783235578
Shirasawa A,2.77486713627833
Hunjan A,1.66492028176700
Sharma R,0.998952169060199
Bettings M,0.599371301436119
Rutka JT,0.460323797689585
Kamijo K,0.215773668517003
Yamazaki T,0.129464201110202
Wilson SB,0.0776785206661210
Snead OC 3rd,4.02228957807515
Aguirre G,6.79591836734694
Iidaka T,13.5185454412919
Kawashima R,8.10546139036934
Okuda J,6.87025021240300
Umetsu A,8.21186109378172
Sugiura M,6.73934889390507
Inoue K,4.11786044776402
Suzuki K,11.1164981590867
Tabuchi M,1.06425719775411
Tsukiura T,14.0675855029847
Narayan SL,0.383132591191480
Nagasaka T,0.229879554714888
Yanagawa I,0.137927732828933
Fujii T,7.30757058391313
Takahashi S,0.292067107311372
Fukuda H,5.60163472066562
Yamadori A,8.38333263667077
Rickard TC,97.3415682062299
Romero SG,35.0429645542427
Basso G,11.2554785280626
Wharton C,12.6154672395274
Flitman S,7.56928034371643
Grafman J,28.1498316079671
Griffiths TD,42.7005686935232
Green GG,11.6125651756107
Rees A,5.53942757869035
Burgess N,35.7702577900197
Engelien A,20.9546173791638
Huber W,6.38734253850974
Silbersweig D,7.04150430542870
Stern E,9.56778920392587
Doring W,0.873135727378770
Thron A,8.97763798542921
Coull JT,53.0197714430151
Naito E,34.4664945263394
Kinomura S,16.4641514500537
Geyer S,23.1455612594277
Roland PE,11.3654138323827
Zilles K,29.8745750183971
Tanaka S,11.2570404977092
Okada T,5.37254591047515
Nishizawa S,2.93954154458861
Katayama M,1.56605800214823
